"ensembl_gene_id"	"go_id"	"go_term_name"	"go_term_type"	"gene_biotype"
"3940"	"TGME49-269582"	"GO:0019904"	"protein domain specific binding"	"molecular_function"	"protein_coding"
"3941"	"TGME49-311140"	""	""	""	"protein_coding"
"3942"	"TGME49-247940"	""	""	""	"protein_coding"
"3943"	"TGME49-249190"	""	""	""	"protein_coding"
"3944"	"TGME49-268835"	""	""	""	"protein_coding"
"3945"	"TGME49-224770"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"3946"	"TGME49-231220"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"3947"	"TGME49-231220"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"3948"	"TGME49-279315"	""	""	""	"protein_coding"
"3949"	"TGME49-272030"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"3950"	"TGME49-308030"	""	""	""	"protein_coding"
"3951"	"TGME49-315345"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"3952"	"TGME49-311290"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"3953"	"TGME49-311290"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"3954"	"TGME49-311290"	"GO:0006633"	"fatty acid biosynthetic process"	"biological_process"	"protein_coding"
"3955"	"TGME49-311290"	"GO:0102158"	"very-long-chain 3-hydroxyacyl-CoA dehydratase activity"	"molecular_function"	"protein_coding"
"3956"	"TGME49-311290"	"GO:0102343"	"3-hydroxy-arachidoyl-CoA dehydratase activity"	"molecular_function"	"protein_coding"
"3957"	"TGME49-311290"	"GO:0102344"	"3-hydroxy-behenoyl-CoA dehydratase activity"	"molecular_function"	"protein_coding"
"3958"	"TGME49-311290"	"GO:0102345"	"3-hydroxy-lignoceroyl-CoA dehydratase activity"	"molecular_function"	"protein_coding"
"3959"	"TGME49-215030"	"GO:0004386"	"helicase activity"	"molecular_function"	"protein_coding"
"3960"	"TGME49-316400"	"GO:0005737"	"cytoplasm"	"cellular_component"	"protein_coding"
"3961"	"TGME49-316400"	"GO:0005525"	"GTP binding"	"molecular_function"	"protein_coding"
"3962"	"TGME49-316400"	"GO:0003924"	"GTPase activity"	"molecular_function"	"protein_coding"
"3963"	"TGME49-316400"	"GO:0005874"	"microtubule"	"cellular_component"	"protein_coding"
"3964"	"TGME49-316400"	"GO:0005200"	"structural constituent of cytoskeleton"	"molecular_function"	"protein_coding"
"3965"	"TGME49-316400"	"GO:0007017"	"microtubule-based process"	"biological_process"	"protein_coding"
"3966"	"TGME49-316400"	"GO:0000166"	"nucleotide binding"	"molecular_function"	"protein_coding"
"3967"	"TGME49-316400"	"GO:0007010"	"cytoskeleton organization"	"biological_process"	"protein_coding"
"3968"	"TGME49-277070"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"3969"	"TGME49-277070"	"GO:0006281"	"DNA repair"	"biological_process"	"protein_coding"
"3970"	"TGME49-277070"	"GO:0000166"	"nucleotide binding"	"molecular_function"	"protein_coding"
"3971"	"TGME49-277070"	"GO:0031297"	"replication fork processing"	"biological_process"	"protein_coding"
"3972"	"TGME49-277070"	"GO:0036310"	"annealing helicase activity"	"molecular_function"	"protein_coding"
"3973"	"TGME49-277070"	"GO:0070615"	"nucleosome-dependent ATPase activity"	"molecular_function"	"protein_coding"
"3974"	"TGME49-216910"	""	""	""	"protein_coding"
"3975"	"TGME49-267855"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"3976"	"TGME49-267855"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"3977"	"TGME49-273300"	""	""	""	"protein_coding"
"3978"	"TGME49-246720"	""	""	""	"protein_coding"
"3979"	"TGME49-229140"	"GO:0033989"	"3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity"	"molecular_function"	"protein_coding"
"3980"	"TGME49-229140"	"GO:0016829"	"lyase activity"	"molecular_function"	"protein_coding"
"3981"	"TGME49-217380"	""	""	""	"protein_coding"
"3982"	"TGME49-231600"	"GO:0006606"	"protein import into nucleus"	"biological_process"	"protein_coding"
"3983"	"TGME49-231600"	"GO:0005737"	"cytoplasm"	"cellular_component"	"protein_coding"
"3984"	"TGME49-269910"	"GO:0008270"	"zinc ion binding"	"molecular_function"	"protein_coding"
"3985"	"TGME49-269910"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"3986"	"TGME49-228270"	""	""	""	"protein_coding"
"3987"	"TGME49-268960"	"GO:0016301"	"kinase activity"	"molecular_function"	"protein_coding"
"3988"	"TGME49-268960"	"GO:0007165"	"signal transduction"	"biological_process"	"protein_coding"
"3989"	"TGME49-268960"	"GO:0031588"	"nucleotide-activated protein kinase complex"	"cellular_component"	"protein_coding"
"3990"	"TGME49-268960"	"GO:0045859"	"regulation of protein kinase activity"	"biological_process"	"protein_coding"
"3991"	"TGME49-268960"	"GO:0016310"	"phosphorylation"	"biological_process"	"protein_coding"
"3992"	"TGME49-215120"	""	""	""	"tRNA"
"3993"	"TGME49-219540"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"3994"	"TGME49-219540"	"GO:0005737"	"cytoplasm"	"cellular_component"	"protein_coding"
"3995"	"TGME49-219540"	"GO:0005739"	"mitochondrion"	"cellular_component"	"protein_coding"
"3996"	"TGME49-219540"	"GO:0004812"	"aminoacyl-tRNA ligase activity"	"molecular_function"	"protein_coding"
"3997"	"TGME49-219540"	"GO:0008270"	"zinc ion binding"	"molecular_function"	"protein_coding"
"3998"	"TGME49-219540"	"GO:0000049"	"tRNA binding"	"molecular_function"	"protein_coding"
"3999"	"TGME49-219540"	"GO:0003676"	"nucleic acid binding"	"molecular_function"	"protein_coding"
"4000"	"TGME49-219540"	"GO:0000166"	"nucleotide binding"	"molecular_function"	"protein_coding"
"4001"	"TGME49-219540"	"GO:0004813"	"alanine-tRNA ligase activity"	"molecular_function"	"protein_coding"
"4002"	"TGME49-219540"	"GO:0070143"	"mitochondrial alanyl-tRNA aminoacylation"	"biological_process"	"protein_coding"
"4003"	"TGME49-219540"	"GO:0003723"	"RNA binding"	"molecular_function"	"protein_coding"
"4004"	"TGME49-219540"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"4005"	"TGME49-219540"	"GO:0016874"	"ligase activity"	"molecular_function"	"protein_coding"
"4006"	"TGME49-219540"	"GO:0006412"	"translation"	"biological_process"	"protein_coding"
"4007"	"TGME49-219540"	"GO:0043039"	"tRNA aminoacylation"	"biological_process"	"protein_coding"
"4008"	"TGME49-219540"	"GO:0006419"	"alanyl-tRNA aminoacylation"	"biological_process"	"protein_coding"
"4009"	"TGME49-246190"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"4010"	"TGME49-212290"	"GO:0003735"	"structural constituent of ribosome"	"molecular_function"	"protein_coding"
"4011"	"TGME49-212290"	"GO:0005840"	"ribosome"	"cellular_component"	"protein_coding"
"4012"	"TGME49-212290"	"GO:0006412"	"translation"	"biological_process"	"protein_coding"
"4013"	"TGME49-298610"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"4014"	"TGME49-267045"	"GO:0005525"	"GTP binding"	"molecular_function"	"protein_coding"
"4015"	"TGME49-267045"	"GO:0003924"	"GTPase activity"	"molecular_function"	"protein_coding"
"4016"	"TGME49-229440"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4017"	"TGME49-229440"	"GO:0008270"	"zinc ion binding"	"molecular_function"	"protein_coding"
"4018"	"TGME49-229440"	"GO:0016740"	"transferase activity"	"molecular_function"	"protein_coding"
"4019"	"TGME49-229440"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"4020"	"TGME49-229440"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4021"	"TGME49-229440"	"GO:0005789"	"endoplasmic reticulum membrane"	"cellular_component"	"protein_coding"
"4022"	"TGME49-229440"	"GO:0005783"	"endoplasmic reticulum"	"cellular_component"	"protein_coding"
"4023"	"TGME49-229440"	"GO:0061630"	"ubiquitin protein ligase activity"	"molecular_function"	"protein_coding"
"4024"	"TGME49-229440"	"GO:0016567"	"protein ubiquitination"	"biological_process"	"protein_coding"
"4025"	"TGME49-229440"	"GO:0030433"	"ubiquitin-dependent ERAD pathway"	"biological_process"	"protein_coding"
"4026"	"TGME49-229440"	"GO:0000836"	"Hrd1p ubiquitin ligase complex"	"cellular_component"	"protein_coding"
"4027"	"TGME49-214980"	""	""	""	"protein_coding"
"4028"	"TGME49-299820"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"4029"	"TGME49-313300"	"GO:0005634"	"nucleus"	"cellular_component"	"protein_coding"
"4030"	"TGME49-313300"	"GO:0006355"	"regulation of transcription, DNA-templated"	"biological_process"	"protein_coding"
"4031"	"TGME49-313300"	"GO:0006338"	"chromatin remodeling"	"biological_process"	"protein_coding"
"4032"	"TGME49-313300"	"GO:0043486"	"histone exchange"	"biological_process"	"protein_coding"
"4033"	"TGME49-218890"	""	""	""	"protein_coding"
"4034"	"TGME49-230590"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4035"	"TGME49-230590"	"GO:0004578"	"chitobiosyldiphosphodolichol beta-mannosyltransferase activity"	"molecular_function"	"protein_coding"
"4036"	"TGME49-230590"	"GO:0016740"	"transferase activity"	"molecular_function"	"protein_coding"
"4037"	"TGME49-230590"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4038"	"TGME49-230590"	"GO:0016757"	"glycosyltransferase activity"	"molecular_function"	"protein_coding"
"4039"	"TGME49-230590"	"GO:0097502"	"mannosylation"	"biological_process"	"protein_coding"
"4040"	"TGME49-230590"	"GO:0000030"	"mannosyltransferase activity"	"molecular_function"	"protein_coding"
"4041"	"TGME49-232250"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"4042"	"TGME49-232250"	"GO:0020037"	"heme binding"	"molecular_function"	"protein_coding"
"4043"	"TGME49-232250"	"GO:0004096"	"catalase activity"	"molecular_function"	"protein_coding"
"4044"	"TGME49-232250"	"GO:0006979"	"response to oxidative stress"	"biological_process"	"protein_coding"
"4045"	"TGME49-232250"	"GO:0042744"	"hydrogen peroxide catabolic process"	"biological_process"	"protein_coding"
"4046"	"TGME49-232250"	"GO:0016491"	"oxidoreductase activity"	"molecular_function"	"protein_coding"
"4047"	"TGME49-232250"	"GO:0098869"	"cellular oxidant detoxification"	"biological_process"	"protein_coding"
"4048"	"TGME49-232250"	"GO:0004601"	"peroxidase activity"	"molecular_function"	"protein_coding"
"4049"	"TGME49-228500"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"4050"	"TGME49-228500"	"GO:0007165"	"signal transduction"	"biological_process"	"protein_coding"
"4051"	"TGME49-228500"	"GO:0004114"	"3',5'-cyclic-nucleotide phosphodiesterase activity"	"molecular_function"	"protein_coding"
"4052"	"TGME49-228500"	"GO:0008081"	"phosphoric diester hydrolase activity"	"molecular_function"	"protein_coding"
"4053"	"TGME49-228500"	"GO:0016787"	"hydrolase activity"	"molecular_function"	"protein_coding"
"4054"	"TGME49-316230"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4055"	"TGME49-316230"	"GO:0016791"	"phosphatase activity"	"molecular_function"	"protein_coding"
"4056"	"TGME49-316230"	"GO:0042578"	"phosphoric ester hydrolase activity"	"molecular_function"	"protein_coding"
"4057"	"TGME49-316230"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4058"	"TGME49-316230"	"GO:0016311"	"dephosphorylation"	"biological_process"	"protein_coding"
"4059"	"TGME49-313385"	""	""	""	"protein_coding"
"4060"	"TGME49-218840"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"4061"	"TGME49-218840"	"GO:0006298"	"mismatch repair"	"biological_process"	"protein_coding"
"4062"	"TGME49-218840"	"GO:0030983"	"mismatched DNA binding"	"molecular_function"	"protein_coding"
"4063"	"TGME49-218840"	"GO:0000166"	"nucleotide binding"	"molecular_function"	"protein_coding"
"4064"	"TGME49-218840"	"GO:0003677"	"DNA binding"	"molecular_function"	"protein_coding"
"4065"	"TGME49-218840"	"GO:0006974"	"cellular response to DNA damage stimulus"	"biological_process"	"protein_coding"
"4066"	"TGME49-245746"	""	""	""	"protein_coding"
"4067"	"TGME49-245980"	""	""	""	"protein_coding"
"4068"	"TGME49-236080"	"GO:0003676"	"nucleic acid binding"	"molecular_function"	"protein_coding"
"4069"	"TGME49-236080"	"GO:0005634"	"nucleus"	"cellular_component"	"protein_coding"
"4070"	"TGME49-236080"	"GO:0003677"	"DNA binding"	"molecular_function"	"protein_coding"
"4071"	"TGME49-228075"	""	""	""	"tRNA"
"4072"	"TGME49-233770"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4073"	"TGME49-233770"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"4074"	"TGME49-233770"	"GO:0000166"	"nucleotide binding"	"molecular_function"	"protein_coding"
"4075"	"TGME49-233770"	"GO:0005388"	"P-type calcium transporter activity"	"molecular_function"	"protein_coding"
"4076"	"TGME49-233770"	"GO:0005215"	"transporter activity"	"molecular_function"	"protein_coding"
"4077"	"TGME49-233770"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4078"	"TGME49-233770"	"GO:0016787"	"hydrolase activity"	"molecular_function"	"protein_coding"
"4079"	"TGME49-233770"	"GO:0140603"	"ATP hydrolysis activity"	"molecular_function"	"protein_coding"
"4080"	"TGME49-310005"	""	""	""	"protein_coding"
"4081"	"TGME49-207140"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4082"	"TGME49-276860"	""	""	""	"protein_coding"
"4083"	"TGME49-307800"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4084"	"TGME49-307800"	"GO:0016787"	"hydrolase activity"	"molecular_function"	"protein_coding"
"4085"	"TGME49-307800"	"GO:0102485"	"dATP phosphohydrolase activity"	"molecular_function"	"protein_coding"
"4086"	"TGME49-307800"	"GO:0102486"	"dCTP phosphohydrolase activity"	"molecular_function"	"protein_coding"
"4087"	"TGME49-307800"	"GO:0102487"	"dUTP phosphohydrolase activity"	"molecular_function"	"protein_coding"
"4088"	"TGME49-307800"	"GO:0102488"	"dTTP phosphohydrolase activity"	"molecular_function"	"protein_coding"
"4089"	"TGME49-307800"	"GO:0102489"	"GTP phosphohydrolase activity"	"molecular_function"	"protein_coding"
"4090"	"TGME49-307800"	"GO:0102491"	"dGTP phosphohydrolase activity"	"molecular_function"	"protein_coding"
"4091"	"TGME49-307800"	"GO:0102490"	"8-oxo-dGTP phosphohydrolase activity"	"molecular_function"	"protein_coding"
"4092"	"TGME49-307800"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4093"	"TGME49-307800"	"GO:0000166"	"nucleotide binding"	"molecular_function"	"protein_coding"
"4094"	"TGME49-307800"	"GO:0005524"	"ATP binding"	"molecular_function"	"protein_coding"
"4095"	"TGME49-315690"	""	""	""	"protein_coding"
"4096"	"TGME49-225430"	"GO:0005525"	"GTP binding"	"molecular_function"	"protein_coding"
"4097"	"TGME49-225430"	"GO:0000166"	"nucleotide binding"	"molecular_function"	"protein_coding"
"4098"	"TGME49-314440"	""	""	""	"protein_coding"
"4099"	"TGME49-312622"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4100"	"TGME49-312622"	"GO:0015095"	"magnesium ion transmembrane transporter activity"	"molecular_function"	"protein_coding"
"4101"	"TGME49-312622"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4102"	"TGME49-312622"	"GO:0015693"	"magnesium ion transport"	"biological_process"	"protein_coding"
"4103"	"TGME49-312622"	"GO:1903830"	"magnesium ion transmembrane transport"	"biological_process"	"protein_coding"
"4104"	"TGME49-219730"	""	""	""	"protein_coding"
"4105"	"TGME49-310455"	""	""	""	"protein_coding"
"4106"	"TGME49-278360"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4107"	"TGME49-278360"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4108"	"TGME49-214590"	""	""	""	"protein_coding"
"4109"	"TGME49-316610"	""	""	""	"protein_coding"
"4110"	"TGME49-251560"	""	""	""	"protein_coding"
"4111"	"TGME49-216030"	"GO:0005622"	"intracellular anatomical structure"	"cellular_component"	"protein_coding"
"4112"	"TGME49-216030"	"GO:0006886"	"intracellular protein transport"	"biological_process"	"protein_coding"
"4113"	"TGME49-216030"	"GO:0035091"	"phosphatidylinositol binding"	"molecular_function"	"protein_coding"
"4114"	"TGME49-216030"	"GO:0043130"	"ubiquitin binding"	"molecular_function"	"protein_coding"
"4115"	"TGME49-267700"	""	""	""	"protein_coding"
"4116"	"TGME49-200375"	""	""	""	"protein_coding"
"4117"	"TGME49-311075"	""	""	""	"protein_coding"
"4118"	"TGME49-230705"	""	""	""	"protein_coding"
"4119"	"TGME49-316235"	""	""	""	"protein_coding"
"4120"	"TGME49-251650"	""	""	""	"protein_coding"
"4121"	"TGME49-273800"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"4122"	"TGME49-310930"	""	""	""	"protein_coding"
"4123"	"TGME49-272430"	""	""	""	"protein_coding"
"4124"	"TGME49-236820"	""	""	""	"protein_coding"
"4125"	"TGME49-218480"	""	""	""	"tRNA"
"4126"	"TGME49-200385"	"GO:0003677"	"DNA binding"	"molecular_function"	"protein_coding"
"4127"	"TGME49-200385"	"GO:0005634"	"nucleus"	"cellular_component"	"protein_coding"
"4128"	"TGME49-200385"	"GO:0001216"	"DNA-binding transcription activator activity"	"molecular_function"	"protein_coding"
"4129"	"TGME49-200385"	"GO:0030154"	"cell differentiation"	"biological_process"	"protein_coding"
"4130"	"TGME49-200385"	"GO:0045165"	"cell fate commitment"	"biological_process"	"protein_coding"
"4131"	"TGME49-200385"	"GO:0045893"	"positive regulation of transcription, DNA-templated"	"biological_process"	"protein_coding"
"4132"	"TGME49-200385"	"GO:0097436"	"entry into dormancy"	"biological_process"	"protein_coding"
"4133"	"TGME49-216490"	"GO:0008270"	"zinc ion binding"	"molecular_function"	"protein_coding"
"4134"	"TGME49-267040"	""	""	""	"protein_coding"
"4135"	"TGME49-272770"	"GO:0042274"	"ribosomal small subunit biogenesis"	"biological_process"	"protein_coding"
"4136"	"TGME49-310045"	""	""	""	"protein_coding"
"4137"	"TGME49-312400"	"GO:0003723"	"RNA binding"	"molecular_function"	"protein_coding"
"4138"	"TGME49-312400"	"GO:0000178"	"exosome (RNase complex)"	"cellular_component"	"protein_coding"
"4139"	"TGME49-235600"	""	""	""	"protein_coding"
"4140"	"TGME49-315330"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4141"	"TGME49-278975"	"GO:0008233"	"peptidase activity"	"molecular_function"	"protein_coding"
"4142"	"TGME49-278975"	"GO:0006508"	"proteolysis"	"biological_process"	"protein_coding"
"4143"	"TGME49-248250"	"GO:0003743"	"translation initiation factor activity"	"molecular_function"	"protein_coding"
"4144"	"TGME49-248250"	"GO:0000398"	"mRNA splicing, via spliceosome"	"biological_process"	"protein_coding"
"4145"	"TGME49-248250"	"GO:0006413"	"translational initiation"	"biological_process"	"protein_coding"
"4146"	"TGME49-250790"	""	""	""	"protein_coding"
"4147"	"TGME49-236780"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"4148"	"TGME49-236780"	"GO:0005737"	"cytoplasm"	"cellular_component"	"protein_coding"
"4149"	"TGME49-314810"	"GO:0003735"	"structural constituent of ribosome"	"molecular_function"	"protein_coding"
"4150"	"TGME49-314810"	"GO:0005840"	"ribosome"	"cellular_component"	"protein_coding"
"4151"	"TGME49-314810"	"GO:0000463"	"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"biological_process"	"protein_coding"
"4152"	"TGME49-314810"	"GO:0022625"	"cytosolic large ribosomal subunit"	"cellular_component"	"protein_coding"
"4153"	"TGME49-251962"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4154"	"TGME49-251962"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4155"	"TGME49-216460"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4156"	"TGME49-216460"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4157"	"TGME49-232650"	"GO:0005634"	"nucleus"	"cellular_component"	"protein_coding"
"4158"	"TGME49-299780"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4159"	"TGME49-299780"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4160"	"TGME49-246330"	""	""	""	"protein_coding"
"4161"	"TGME49-246660"	""	""	""	"protein_coding"
"4162"	"TGME49-214250"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4163"	"TGME49-214250"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4164"	"TGME49-232180"	"GO:0016255"	"attachment of GPI anchor to protein"	"biological_process"	"protein_coding"
"4165"	"TGME49-232180"	"GO:0042765"	"GPI-anchor transamidase complex"	"cellular_component"	"protein_coding"
"4166"	"TGME49-232180"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4167"	"TGME49-232180"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4168"	"TGME49-232180"	"GO:0005789"	"endoplasmic reticulum membrane"	"cellular_component"	"protein_coding"
"4169"	"TGME49-232180"	"GO:0005783"	"endoplasmic reticulum"	"cellular_component"	"protein_coding"
"4170"	"TGME49-232180"	"GO:0005739"	"mitochondrion"	"cellular_component"	"protein_coding"
"4171"	"TGME49-232180"	"GO:0006506"	"GPI anchor biosynthetic process"	"biological_process"	"protein_coding"
"4172"	"TGME49-232180"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"4173"	"TGME49-250760"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4174"	"TGME49-250760"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4175"	"TGME49-250760"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"4176"	"TGME49-309050"	""	""	""	"protein_coding"
"4177"	"TGME49-219080"	"GO:0045048"	"protein insertion into ER membrane"	"biological_process"	"protein_coding"
"4178"	"TGME49-219080"	"GO:0005515"	"protein binding"	"molecular_function"	"protein_coding"
"4179"	"TGME49-230910"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4180"	"TGME49-230910"	"GO:0048037"	"obsolete cofactor binding"	"molecular_function"	"protein_coding"
"4181"	"TGME49-230910"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4182"	"TGME49-268420"	""	""	""	"tRNA"
"4183"	"TGME49-229200"	"GO:0005634"	"nucleus"	"cellular_component"	"protein_coding"
"4184"	"TGME49-269970"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4185"	"TGME49-269970"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4186"	"TGME49-248150"	"GO:0044599"	"AP-5 adaptor complex"	"cellular_component"	"protein_coding"
"4187"	"TGME49-215350"	""	""	""	"protein_coding"
"4188"	"TGME49-272280"	"GO:0046872"	"metal ion binding"	"molecular_function"	"protein_coding"
"4189"	"TGME49-272280"	"GO:0004722"	"protein serine/threonine phosphatase activity"	"molecular_function"	"protein_coding"
"4190"	"TGME49-272280"	"GO:0016791"	"phosphatase activity"	"molecular_function"	"protein_coding"
"4191"	"TGME49-272280"	"GO:0043169"	"cation binding"	"molecular_function"	"protein_coding"
"4192"	"TGME49-272280"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4193"	"TGME49-272280"	"GO:0016787"	"hydrolase activity"	"molecular_function"	"protein_coding"
"4194"	"TGME49-272280"	"GO:0004721"	"phosphoprotein phosphatase activity"	"molecular_function"	"protein_coding"
"4195"	"TGME49-272280"	"GO:0006470"	"protein dephosphorylation"	"biological_process"	"protein_coding"
"4196"	"TGME49-272280"	"GO:0106306"	"protein serine phosphatase activity"	"molecular_function"	"protein_coding"
"4197"	"TGME49-272280"	"GO:0106307"	"protein threonine phosphatase activity"	"molecular_function"	"protein_coding"
"4198"	"TGME49-278850"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4199"	"TGME49-278850"	"GO:0019706"	"protein-cysteine S-palmitoyltransferase activity"	"molecular_function"	"protein_coding"
"4200"	"TGME49-278850"	"GO:0016740"	"transferase activity"	"molecular_function"	"protein_coding"
"4201"	"TGME49-278850"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4202"	"TGME49-278850"	"GO:0016746"	"acyltransferase activity"	"molecular_function"	"protein_coding"
"4203"	"TGME49-278850"	"GO:0016409"	"palmitoyltransferase activity"	"molecular_function"	"protein_coding"
"4204"	"TGME49-229700"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4205"	"TGME49-229700"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4206"	"TGME49-277060"	""	""	""	"protein_coding"
"4207"	"TGME49-224330"	"GO:0008537"	"proteasome activator complex"	"cellular_component"	"protein_coding"
"4208"	"TGME49-224330"	"GO:0000502"	"proteasome complex"	"cellular_component"	"protein_coding"
"4209"	"TGME49-278860"	""	""	""	"protein_coding"
"4210"	"TGME49-246630"	"GO:0003899"	"DNA-directed 5'-3' RNA polymerase activity"	"molecular_function"	"protein_coding"
"4211"	"TGME49-246630"	"GO:0006352"	"DNA-templated transcription, initiation"	"biological_process"	"protein_coding"
"4212"	"TGME49-309265"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4213"	"TGME49-309265"	"GO:0016491"	"oxidoreductase activity"	"molecular_function"	"protein_coding"
"4214"	"TGME49-309265"	"GO:0016630"	"protochlorophyllide reductase activity"	"molecular_function"	"protein_coding"
"4215"	"TGME49-309265"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4216"	"TGME49-269438"	""	""	""	"protein_coding"
"4217"	"TGME49-313950"	"GO:0016614"	"oxidoreductase activity, acting on CH-OH group of donors"	"molecular_function"	"protein_coding"
"4218"	"TGME49-313950"	"GO:0050660"	"flavin adenine dinucleotide binding"	"molecular_function"	"protein_coding"
"4219"	"TGME49-313950"	"GO:0008812"	"choline dehydrogenase activity"	"molecular_function"	"protein_coding"
"4220"	"TGME49-313950"	"GO:0016491"	"oxidoreductase activity"	"molecular_function"	"protein_coding"
"4221"	"TGME49-223580"	""	""	""	"protein_coding"
"4222"	"TGME49-316500"	""	""	""	"tRNA"
"4223"	"TGME49-267380"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4224"	"TGME49-267380"	"GO:0000139"	"Golgi membrane"	"cellular_component"	"protein_coding"
"4225"	"TGME49-267380"	"GO:0005351"	"carbohydrate:proton symporter activity"	"molecular_function"	"protein_coding"
"4226"	"TGME49-267380"	"GO:0016020"	"membrane"	"cellular_component"	"protein_coding"
"4227"	"TGME49-267380"	"GO:0015165"	"pyrimidine nucleotide-sugar transmembrane transporter activity"	"molecular_function"	"protein_coding"
"4228"	"TGME49-267380"	"GO:0090481"	"pyrimidine nucleotide-sugar transmembrane transport"	"biological_process"	"protein_coding"
"4229"	"TGME49-267590"	"GO:0016021"	"integral component of membrane"	"cellular_component"	"protein_coding"
"4230"	"TGME49-267590"	"GO:0006487"	"protein N-linked glycosylation"	"biological_process"	"protein_coding"
"4231"	"TGME49-267590"	"GO:0008250"	"oligosaccharyltransferase complex"	"cellular_component"	"protein_coding"
