source_id	description	gene_type	input_ID	external_gene_name	Computed_GO_Component_ID	Computed_GO_Component	Computed_GO_Function_ID	Computed_GO_Function	Computed_GO_Progess_ID	Computed_GO_Progress	Curated_GO_Component_ID	Curated_GO_Component	Curated_GO_Function_ID	Curated_GO_Function	Curated_GO_Process_ID	Curated_GO_Process	ensembl_gene_id	description_1	hyperlopet_allocation
TGME49_218810-t26_1	histidyl-tRNA synthetase	protein coding gene	TGME49_218810	N/A	GO:0005737	cytoplasm	GO:0051499;GO:0002161;GO:0004812;GO:0016788;GO:0000049	D-aminoacyl-tRNA deacylase activity;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;hydrolase activity, acting on ester bonds;tRNA binding	GO:0019478	D-amino acid catabolic process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-218810	histidyl-tRNA synthetase	cytosol
TGME49_218840-t26_1	mutS domain protein	protein coding gene	TGME49_218840	MSH1	N/A	N/A	GO:0005524;GO:0030983	ATP binding;mismatched DNA binding	GO:0006298	mismatch repair	GO:0005739	mitochondrion	N/A	N/A	N/A	N/A	TGME49-218840	mutS domain protein	mitochondrion - soluble
TGME49_219170-t26_1	hypothetical protein	protein coding gene	TGME49_219170	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-219170	hypothetical protein	IMC
TGME49_219270-t26_1	multi-pass transmembrane protein	protein coding gene	TGME49_219270	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-219270	multi-pass transmembrane protein	IMC
TGME49_219320-t26_1	acid phosphatase GAP50	protein coding gene	TGME49_219320	GAP50	GO:0016021	integral component of membrane	GO:0003993	acid phosphatase activity	N/A	N/A	GO:0070258	inner membrane pellicle complex	N/A	N/A	N/A	N/A	TGME49-219320	acid phosphatase GAP50	IMC
TGME49_219700-t26_1	DNA replication licensing factor MCM4, putative	protein coding gene	TGME49_219700	N/A	GO:0042555	MCM complex	GO:0005524;GO:0016887;GO:0003677;GO:0003678;GO:0016851	ATP binding;ATP hydrolysis activity;DNA binding;DNA helicase activity;magnesium chelatase activity	GO:0006260;GO:0006270;GO:0015995;GO:0015979	DNA replication;DNA replication initiation;chlorophyll biosynthetic process;photosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-219700	DNA replication licensing factor MCM4	unknown
TGME49_219860-t26_1	replication licensing factor, putative	protein coding gene	TGME49_219860	N/A	GO:0042555;GO:0005634	MCM complex;nucleus	GO:0005524;GO:0003677;GO:0003678;GO:0016851	ATP binding;DNA binding;DNA helicase activity;magnesium chelatase activity	GO:0006260;GO:0006270;GO:0015995;GO:0015979	DNA replication;DNA replication initiation;chlorophyll biosynthetic process;photosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-219860	replication licensing factor	unknown
TGME49_220270-t26_1	alveolin domain containing intermediate filament IMC6	protein coding gene	TGME49_220270	IMC6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-220270	alveolin domain containing intermediate filament IMC6	IMC
TGME49_220350-t26_1	tRNA ligases class II (D, K and N) domain-containing protein	protein coding gene	TGME49_220350	N/A	GO:0005737	cytoplasm	GO:0005524;GO:0004812;GO:0004824;GO:0000166	ATP binding;aminoacyl-tRNA ligase activity;lysine-tRNA ligase activity;nucleotide binding	GO:0006418	tRNA aminoacylation for protein translation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-220350	tRNA ligases class II (D	unknown
TGME49_220900-t26_1	hypothetical protein	protein coding gene	TGME49_220900	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-220900	hypothetical protein	IMC
TGME49_220930-t26_1	hypothetical protein	protein coding gene	TGME49_220930	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-220930	hypothetical protein	IMC
TGME49_221320-t26_1	acetyl-CoA carboxylase ACC1	protein coding gene	TGME49_221320	ACC1	GO:0016021	integral component of membrane	GO:0005524;GO:0008716;GO:0003989;GO:0003824;GO:0016874;GO:0046872;GO:0004658	ATP binding;D-alanine-D-alanine ligase activity;acetyl-CoA carboxylase activity;catalytic activity;ligase activity;metal ion binding;propionyl-CoA carboxylase activity	GO:0006633;GO:0008152	fatty acid biosynthetic process;metabolic process	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	TGME49-221320	acetyl-CoA carboxylase ACC1	apicoplast
TGME49_221390-t26_1	hypothetical protein	protein coding gene	TGME49_221390	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-221390	hypothetical protein	dense granules
TGME49_221620-t26_1	beta-tubulin, putative	protein coding gene	TGME49_221620	N/A	GO:0005737;GO:0005874;GO:0032991	cytoplasm;microtubule;protein-containing complex	GO:0005525;GO:0003924;GO:0005200	GTP binding;GTPase activity;structural constituent of cytoskeleton	GO:0007017;GO:0006184;GO:0051258	microtubule-based process;obsolete GTP catabolic process;protein polymerization	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-221620	beta-tubulin	tubulin cytoskeleton
TGME49_221630-t26_1	hypothetical protein	protein coding gene	TGME49_221630	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-221630	hypothetical protein	nucleus - chromatin
TGME49_222020-t26_1	phosphoglycerate kinase PGKII	protein coding gene	TGME49_222020	PGKII	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096	glycolytic process	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	TGME49-222020	phosphoglycerate kinase PGKII	apicoplast
TGME49_222040-t26_1	Ran-interacting Mog1 protein	protein coding gene	TGME49_222040	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-222040	Ran-interacting Mog1 protein	cytosol
TGME49_222070-t26_1	elongation factor Tu GTP binding domain-containing protein	protein coding gene	TGME49_222070	N/A	N/A	N/A	GO:0005525;GO:0003924;GO:0004781;GO:0003746	GTP binding;GTPase activity;sulfate adenylyltransferase (ATP) activity;translation elongation factor activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-222070	elongation factor Tu GTP binding domain-containing protein	nucleus - chromatin
TGME49_222100-t26_1	hypothetical protein	protein coding gene	TGME49_222100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-222100	hypothetical protein	rhoptries 1
TGME49_222220-t26_1	alveolin domain containing intermediate filament IMC7	protein coding gene	TGME49_222220	IMC7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-222220	alveolin domain containing intermediate filament IMC7	IMC
TGME49_222270-t26_1	hypothetical protein	protein coding gene	TGME49_222270	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-222270	hypothetical protein	apicoplast
TGME49_222350-t26_1	hypothetical protein	protein coding gene	TGME49_222350	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-222350	hypothetical protein	apical 1
TGME49_222360-t26_1	hypothetical protein	protein coding gene	TGME49_222360	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-222360	hypothetical protein	ER 1
TGME49_222410-t26_1	hypothetical protein	protein coding gene	TGME49_222410	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-222410	hypothetical protein	ER 1
TGME49_223540-t26_1	importin-beta N-terminal domain-containing protein	protein coding gene	TGME49_223540	N/A	GO:0005634	nucleus	GO:0008536;GO:0008565	Ran GTPase binding;obsolete protein transporter activity	GO:0006886	intracellular protein transport	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-223540	importin-beta N-terminal domain-containing protein	cytosol
TGME49_223672-t26_1	3'(2'),5'-bisphosphate nucleotidase	protein coding gene	TGME49_223672	N/A	N/A	N/A	GO:0008441;GO:0000287	3'(2'),5'-bisphosphate nucleotidase activity;magnesium ion binding	GO:0046855;GO:0046854;GO:0006790	inositol phosphate dephosphorylation;phosphatidylinositol phosphate biosynthetic process;sulfur compound metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-223672	3'(2')	unknown
TGME49_223920-t26_1	rhoptry neck protein RON3	protein coding gene	TGME49_223920	RON3	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0045177	apical part of cell	N/A	N/A	N/A	N/A	TGME49-223920	rhoptry neck protein RON3	rhoptries 1
TGME49_223940-t26_1	GAP45	protein coding gene	TGME49_223940	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737;GO:0070258	cytoplasm;inner membrane pellicle complex	N/A	N/A	N/A	N/A	TGME49-223940	GAP45	IMC
TGME49_224000-t26_1	hypothetical protein	protein coding gene	TGME49_224000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-224000	hypothetical protein	IMC
TGME49_224310-t26_1	DHHC zinc finger domain-containing protein	protein coding gene	TGME49_224310	N/A	GO:0016021	integral component of membrane	GO:0016409;GO:0019706;GO:0008270	palmitoyltransferase activity;protein-cysteine S-palmitoyltransferase activity;zinc ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-224310	DHHC zinc finger domain-containing protein	PM - integral
TGME49_224530-t26_1	alveolin domain containing intermediate filament IMC5	protein coding gene	TGME49_224530	ALV11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-224530	alveolin domain containing intermediate filament IMC5	dense granules
TGME49_224700-t26_1	hypothetical protein	protein coding gene	TGME49_224700	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-224700	hypothetical protein	apical 1
TGME49_224910-t26_1	divalent cation tolerance protein, CutA1 family protein	protein coding gene	TGME49_224910	N/A	N/A	N/A	N/A	N/A	GO:0010038	response to metal ion	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-224910	divalent cation tolerance protein	unknown
TGME49_225020-t26_1	hypothetical protein	protein coding gene	TGME49_225020	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225020	hypothetical protein	apical 1
TGME49_225050-t26_1	adenosylhomocysteinase, putative	protein coding gene	TGME49_225050	N/A	N/A	N/A	GO:0004013;GO:0048037;GO:0016616	adenosylhomocysteinase activity;obsolete cofactor binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0055114;GO:0006730	obsolete oxidation-reduction process;one-carbon metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225050	adenosylhomocysteinase	unknown
TGME49_225120-t26_1	hypothetical protein	protein coding gene	TGME49_225120	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225120	hypothetical protein	dense granules
TGME49_225150-t26_1	hypothetical protein	protein coding gene	TGME49_225150	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225150	hypothetical protein	rhoptries 1
TGME49_225320-t26_1	hypothetical protein	protein coding gene	TGME49_225320	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225320	hypothetical protein	rhoptries 2
TGME49_225330-t26_1	hypothetical protein	protein coding gene	TGME49_225330	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225330	hypothetical protein	rhoptries 1
TGME49_225450-t26_1	hypothetical protein	protein coding gene	TGME49_225450	N/A	GO:0008180	COP9 signalosome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225450	hypothetical protein	cytosol
TGME49_225480-t26_1	hypothetical protein	protein coding gene	TGME49_225480	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225480	hypothetical protein	IMC
TGME49_225560-t26_1	hypothetical protein	protein coding gene	TGME49_225560	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225560	hypothetical protein	IMC
TGME49_225690-t26_1	hypothetical protein	protein coding gene	TGME49_225690	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225690	hypothetical protein	apical 1
TGME49_225860-t26_1	hypothetical protein	protein coding gene	TGME49_225860	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225860	hypothetical protein	rhoptries 1
TGME49_225870-t26_1	hypothetical protein	protein coding gene	TGME49_225870	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225870	hypothetical protein	nucleus - chromatin
TGME49_225930-t26_1	triose-phosphate isomerase TPI-I	protein coding gene	TGME49_225930	TPI-I	N/A	N/A	GO:0003824;GO:0004807	catalytic activity;triose-phosphate isomerase activity	GO:0006094;GO:0006096;GO:0008152	gluconeogenesis;glycolytic process;metabolic process	GO:0005737	cytoplasm	N/A	N/A	N/A	N/A	TGME49-225930	triose-phosphate isomerase TPI-I	cytosol
TGME49_225990-t26_1	acyl transferase domain-containing protein	protein coding gene	TGME49_225990	N/A	N/A	N/A	GO:0004314;GO:0016740	[acyl-carrier-protein] S-malonyltransferase activity;transferase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-225990	acyl transferase domain-containing protein	apicoplast
TGME49_226040-t26_1	EF hand domain-containing protein	protein coding gene	TGME49_226040	N/A	N/A	N/A	GO:0005509	calcium ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-226040	EF hand domain-containing protein	apical 2
TGME49_226220-t26_1	alveolin domain containing intermediate filament IMC9	protein coding gene	TGME49_226220	ALV6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-226220	alveolin domain containing intermediate filament IMC9	apical 1
TGME49_226680-t26_1	hypothetical protein	protein coding gene	TGME49_226680	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-226680	hypothetical protein	nucleus - chromatin
TGME49_226690-t26_1	hypothetical protein	protein coding gene	TGME49_226690	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-226690	hypothetical protein	rhoptries 1
TGME49_226720-t26_1	translin family protein	protein coding gene	TGME49_226720	N/A	N/A	N/A	GO:0043565	sequence-specific DNA binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-226720	translin family protein	cytosol
TGME49_226830-t26_1	DnaK family protein	protein coding gene	TGME49_226830	N/A	N/A	N/A	GO:0016887	ATP hydrolysis activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-226830	DnaK family protein	ER 2
TGME49_226900-t26_1	hypothetical protein	protein coding gene	TGME49_226900	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-226900	hypothetical protein	nucleus - chromatin
TGME49_227000-t26_1	hypothetical protein	protein coding gene	TGME49_227000	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-227000	hypothetical protein	apical 1
TGME49_227280-t26_1	dense granule protein GRA3	protein coding gene	TGME49_227280	GRA3	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0045177;GO:0020003	apical part of cell;symbiont-containing vacuole	N/A	N/A	N/A	N/A	TGME49-227280	dense granule protein GRA3	dense granules
TGME49_227650-t26_1	microtubule-associated protein RP/EB family, putative	protein coding gene	TGME49_227650	N/A	GO:0005874	microtubule	GO:0008017;GO:0005515	microtubule binding;protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-227650	microtubule-associated protein RP/EB family	unknown
TGME49_227780-t26_1	hypothetical protein	protein coding gene	TGME49_227780	N/A	GO:0016021	integral component of membrane	GO:0000166	nucleotide binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-227780	hypothetical protein	nucleus - chromatin
TGME49_227800-t26_1	EF hand domain-containing protein	protein coding gene	TGME49_227800	N/A	N/A	N/A	GO:0005509;GO:0005515	calcium ion binding;protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-227800	EF hand domain-containing protein	nucleus - chromatin
TGME49_227810-t26_1	rhoptry kinase family protein ROP11 (incomplete catalytic triad)	protein coding gene	TGME49_227810	ROP11	N/A	N/A	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation	GO:0045177	apical part of cell	N/A	N/A	N/A	N/A	TGME49-227810	rhoptry kinase family protein ROP11 (incomplete catalytic triad)	rhoptries 1
TGME49_227952-t26_1	14-3-3 superfamily protein	protein coding gene	TGME49_227952	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-227952	14-3-3 superfamily protein	apical 1
TGME49_227970-t26_1	histone family DNA-binding protein	protein coding gene	TGME49_227970	N/A	N/A	N/A	GO:0003677	DNA binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-227970	histone family DNA-binding protein	apicoplast
TGME49_228180-t26_1	cytochrome C oxidase assembly factor COX15, putative	protein coding gene	TGME49_228180	N/A	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	GO:0006784;GO:0055114	heme A biosynthetic process;obsolete oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-228180	cytochrome C oxidase assembly factor COX15	mitochondrion - membranes
TGME49_228630-t26_1	hypothetical protein	protein coding gene	TGME49_228630	N/A	GO:0016021;GO:0016020	integral component of membrane;membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-228630	hypothetical protein	apicoplast
TGME49_229000-t26_1	kelch repeat-containing protein	protein coding gene	TGME49_229000	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-229000	kelch repeat-containing protein	cytosol
TGME49_229010-t26_1	rhoptry neck protein RON4	protein coding gene	TGME49_229010	RON4	N/A	N/A	N/A	N/A	N/A	N/A	GO:0045177;GO:0070258;GO:0020003	apical part of cell;inner membrane pellicle complex;symbiont-containing vacuole	N/A	N/A	N/A	N/A	TGME49-229010	rhoptry neck protein RON4	rhoptries 1
TGME49_229030-t26_1	hypothetical protein	protein coding gene	TGME49_229030	N/A	GO:0016021;GO:0005787	integral component of membrane;signal peptidase complex	GO:0008233	peptidase activity	GO:0006465	signal peptide processing	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-229030	hypothetical protein	ER 1
TGME49_229250-t26_1	ribosomal protein RPL28	protein coding gene	TGME49_229250	RPL28	GO:0005840	ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-229250	ribosomal protein RPL28	60S ribosome
TGME49_229480-t26_1	calcium binding protein precursor, putative	protein coding gene	TGME49_229480	N/A	GO:0031012;GO:0016021	extracellular matrix;integral component of membrane	GO:0005509	calcium ion binding	GO:0007165	signal transduction	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-229480	calcium binding protein precursor	ER 2
TGME49_229500-t26_1	hypothetical protein	protein coding gene	TGME49_229500	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-229500	hypothetical protein	rhoptries 2
TGME49_229640-t26_1	hypothetical protein	protein coding gene	TGME49_229640	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-229640	hypothetical protein	apical 1
TGME49_229650-t26_1	josephin protein	protein coding gene	TGME49_229650	N/A	N/A	N/A	GO:0008242;GO:0005515;GO:0004843	omega peptidase activity;protein binding;thiol-dependent deubiquitinase	GO:0016579	protein deubiquitination	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-229650	josephin protein	cytosol
TGME49_229990-t26_1	T-complex protein 1 subunit alpha, putative	protein coding gene	TGME49_229990	N/A	GO:0005737	cytoplasm	GO:0005524;GO:0051082	ATP binding;unfolded protein binding	GO:0044267;GO:0006457	cellular protein metabolic process;protein folding	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-229990	T-complex protein 1 subunit alpha	cytosol
TGME49_230210-t26_1	alveolin domain containing intermediate filament IMC10	protein coding gene	TGME49_230210	ALV12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-230210	alveolin domain containing intermediate filament IMC10	IMC
TGME49_230220-t26_1	hypothetical protein	protein coding gene	TGME49_230220	N/A	N/A	N/A	N/A	N/A	GO:0006886;GO:0016192	intracellular protein transport;vesicle-mediated transport	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-230220	hypothetical protein	nucleus - chromatin
TGME49_230420-t26_1	sarco/endoplasmic reticulum Ca2+-ATPase	protein coding gene	TGME49_230420	N/A	GO:0016021	integral component of membrane	GO:0005524;GO:0005388;GO:0003824;GO:0016787;GO:0046872;GO:0000166	ATP binding;P-type calcium transporter activity;catalytic activity;hydrolase activity;metal ion binding;nucleotide binding	GO:0008152	metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-230420	sarco/endoplasmic reticulum Ca2+-ATPase	ER 1
TGME49_230480-t26_1	hypothetical protein	protein coding gene	TGME49_230480	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-230480	hypothetical protein	PM - integral
TGME49_230850-t26_1	hypothetical protein	protein coding gene	TGME49_230850	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-230850	hypothetical protein	IMC
TGME49_230980-t26_1	myosin I	protein coding gene	TGME49_230980	N/A	GO:0016459	myosin complex	GO:0005524;GO:0003779;GO:0003774;GO:0005515	ATP binding;actin binding;cytoskeletal motor activity;protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-230980	myosin I	ER 1
TGME49_231070-t26_1	protein kinase	protein coding gene	TGME49_231070	N/A	N/A	N/A	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-231070	protein kinase	IMC
TGME49_231100-t26_1	hypothetical protein	protein coding gene	TGME49_231100	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-231100	hypothetical protein	PM - integral
TGME49_231160-t26_1	hypothetical protein	protein coding gene	TGME49_231160	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-231160	hypothetical protein	IMC
TGME49_231170-t26_1	RecF/RecN/SMC N terminal domain-containing protein	protein coding gene	TGME49_231170	N/A	GO:0005694;GO:0005634	chromosome;nucleus	GO:0005524;GO:0005515	ATP binding;protein binding	GO:0051276	chromosome organization	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-231170	RecF/RecN/SMC N terminal domain-containing protein	nucleus - non-chromatin
TGME49_231210-t26_1	sarcalumenin/eps15 family protein	protein coding gene	TGME49_231210	N/A	N/A	N/A	GO:0005525;GO:0003924;GO:0005509;GO:0005515	GTP binding;GTPase activity;calcium ion binding;protein binding	GO:0032456	endocytic recycling	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-231210	sarcalumenin/eps15 family protein	nucleus - chromatin
TGME49_231410-t26_1	hypothetical protein	protein coding gene	TGME49_231410	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-231410	hypothetical protein	mitochondrion - membranes
TGME49_231630-t26_1	alveolin domain containing intermediate filament IMC4	protein coding gene	TGME49_231630	ALV4	N/A	N/A	N/A	N/A	N/A	N/A	GO:0045177;GO:0070258	apical part of cell;inner membrane pellicle complex	N/A	N/A	N/A	N/A	TGME49-231630	alveolin domain containing intermediate filament IMC4	IMC
TGME49_231640-t26_1	alveolin domain containing intermediate filament IMC1	protein coding gene	TGME49_231640	ALV1	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737;GO:0070258	cytoplasm;inner membrane pellicle complex	N/A	N/A	N/A	N/A	TGME49-231640	alveolin domain containing intermediate filament IMC1	IMC
TGME49_232000-t26_1	hypothetical protein	protein coding gene	TGME49_232000	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-232000	hypothetical protein	dense granules
TGME49_232030-t26_1	hypothetical protein	protein coding gene	TGME49_232030	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-232030	hypothetical protein	IMC
TGME49_232060-t26_1	hypothetical protein	protein coding gene	TGME49_232060	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-232060	hypothetical protein	cytosol
TGME49_232080-t26_1	hypothetical protein	protein coding gene	TGME49_232080	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-232080	hypothetical protein	ER 1
TGME49_232130-t26_1	hypothetical protein	protein coding gene	TGME49_232130	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-232130	hypothetical protein	tubulin cytoskeleton
TGME49_232150-t26_1	hypothetical protein	protein coding gene	TGME49_232150	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-232150	hypothetical protein	nucleus - chromatin
TGME49_232440-t26_1	Brf1p family coiled coil protein	protein coding gene	TGME49_232440	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-232440	Brf1p family coiled coil protein	nucleus - chromatin
TGME49_232780-t26_1	hypothetical protein	protein coding gene	TGME49_232780	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-232780	hypothetical protein	dense granules
TGME49_233010-t26_1	cell-cycle-assocaited protein kinase ERK7, putative	protein coding gene	TGME49_233010	N/A	N/A	N/A	GO:0005524;GO:0004707;GO:0004672	ATP binding;MAP kinase activity;protein kinase activity	GO:0006468	protein phosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-233010	cell-cycle-assocaited protein kinase ERK7	unknown
TGME49_233030-t26_1	gliding-associated protein GAP70	protein coding gene	TGME49_233030	GAP70	N/A	N/A	N/A	N/A	N/A	N/A	GO:0070258	inner membrane pellicle complex	N/A	N/A	N/A	N/A	TGME49-233030	gliding-associated protein GAP70	apical 1
